Time;[95:17];[95:34];[500:10]
time;HEX1\HEX1 Temperatuur downstream (S4);HEX1\HEX1 Druk downstream (S8);DNST\Flexim Pers5 Debiet thermische olie
sec;°C;bar;m³/h

stoptime;19.10.2022 16:32:22.422073
signalCount;2395

18.10.2022 23:32:22.422073;278,282;4,37906;419,551
19.10.2022 00:32:22.422073;278,312;4,3914;408,217
19.10.2022 01:32:22.422073;278,109;4,41297;425,752
19.10.2022 02:32:22.422073;275,985;4,40364;418,712
19.10.2022 03:32:22.422073;276,782;4,38734;412,214
19.10.2022 04:32:22.422073;277,688;4,39631;419,423
19.10.2022 05:32:22.422073;281,188;4,47501;390,085
19.10.2022 06:32:22.422073;278,188;4,39444;415,389
19.10.2022 07:32:22.422073;277,688;4,39607;421,727
19.10.2022 08:32:22.422073;281,218;4,492;380,908
19.10.2022 09:32:22.422073;283,688;4,54685;343,225
19.10.2022 10:32:22.422073;277,718;4,5078;371,193
19.10.2022 11:32:22.422073;277,312;4,5123;373,492
19.10.2022 12:32:22.422073;278,485;4,54037;369,855
19.10.2022 13:32:22.422073;277,819;4,52417;370,495
19.10.2022 14:32:22.422073;278,515;4,39779;417,528
19.10.2022 15:32:22.422073;278,312;4,40007;415,267
